<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;D;20161212;000000;110980.0000000;115200.0000000;110980.0000000;113930.0000000;131099
SPFB.RTS;D;20161213;000000;113900.0000000;117060.0000000;113460.0000000;116250.0000000;232435
SPFB.RTS;D;20161214;000000;116150.0000000;116490.0000000;111560.0000000;111860.0000000;450981
SPFB.RTS;D;20161215;000000;111870.0000000;114320.0000000;111760.0000000;114030.0000000;831880
SPFB.RTS;D;20161216;000000;114090.0000000;114430.0000000;111620.0000000;112750.0000000;721836
SPFB.RTS;D;20161219;000000;112840.0000000;113460.0000000;111810.0000000;111870.0000000;550734
SPFB.RTS;D;20161220;000000;111880.0000000;114030.0000000;111650.0000000;113580.0000000;498144
SPFB.RTS;D;20161221;000000;113580.0000000;114890.0000000;112680.0000000;112900.0000000;552316
SPFB.RTS;D;20161222;000000;112950.0000000;113460.0000000;111870.0000000;112360.0000000;593927
SPFB.RTS;D;20161223;000000;112290.0000000;113190.0000000;110670.0000000;111910.0000000;593313
SPFB.RTS;D;20161226;000000;111880.0000000;113100.0000000;111800.0000000;112570.0000000;242068
SPFB.RTS;D;20161227;000000;112610.0000000;114430.0000000;112390.0000000;114050.0000000;409444
SPFB.RTS;D;20161228;000000;114090.0000000;114770.0000000;113610.0000000;114140.0000000;441859
SPFB.RTS;D;20161229;000000;114240.0000000;115280.0000000;113240.0000000;114860.0000000;447258
SPFB.RTS;D;20161230;000000;114870.0000000;115670.0000000;113540.0000000;114780.0000000;400495
SPFB.RTS;D;20170103;000000;114970.0000000;119870.0000000;114970.0000000;118080.0000000;672155
SPFB.RTS;D;20170104;000000;118090.0000000;118830.0000000;116440.0000000;118320.0000000;477186
SPFB.RTS;D;20170105;000000;118380.0000000;119300.0000000;116820.0000000;117870.0000000;556398
SPFB.RTS;D;20170106;000000;117960.0000000;118380.0000000;116510.0000000;117530.0000000;446585
SPFB.RTS;D;20170109;000000;117550.0000000;117750.0000000;115640.0000000;116160.0000000;533705
SPFB.RTS;D;20170110;000000;116160.0000000;117850.0000000;115730.0000000;116760.0000000;574674
SPFB.RTS;D;20170111;000000;116740.0000000;117970.0000000;115220.0000000;117690.0000000;718962
SPFB.RTS;D;20170112;000000;117700.0000000;118340.0000000;117050.0000000;117340.0000000;571492
SPFB.RTS;D;20170113;000000;117350.0000000;117780.0000000;115260.0000000;115830.0000000;587515
SPFB.RTS;D;20170116;000000;115850.0000000;116730.0000000;115270.0000000;115570.0000000;434160
SPFB.RTS;D;20170117;000000;115700.0000000;116330.0000000;115130.0000000;115320.0000000;544634
SPFB.RTS;D;20170118;000000;115430.0000000;116790.0000000;114850.0000000;115040.0000000;601376
SPFB.RTS;D;20170119;000000;115110.0000000;115800.0000000;113110.0000000;113580.0000000;680547
SPFB.RTS;D;20170120;000000;113630.0000000;114470.0000000;113190.0000000;113820.0000000;484614
SPFB.RTS;D;20170123;000000;113810.0000000;114210.0000000;113140.0000000;113980.0000000;440962
SPFB.RTS;D;20170124;000000;114000.0000000;115910.0000000;114000.0000000;115500.0000000;476361
SPFB.RTS;D;20170125;000000;115640.0000000;116650.0000000;115120.0000000;115550.0000000;578137
SPFB.RTS;D;20170126;000000;115600.0000000;116650.0000000;115220.0000000;116060.0000000;606590
SPFB.RTS;D;20170127;000000;116070.0000000;120200.0000000;115930.0000000;119140.0000000;750048
SPFB.RTS;D;20170130;000000;119060.0000000;119060.0000000;117080.0000000;117640.0000000;527250
SPFB.RTS;D;20170131;000000;117640.0000000;117680.0000000;115400.0000000;116100.0000000;577166
SPFB.RTS;D;20170201;000000;116120.0000000;117040.0000000;115620.0000000;116760.0000000;530594
SPFB.RTS;D;20170202;000000;116870.0000000;119930.0000000;116590.0000000;117800.0000000;722617
SPFB.RTS;D;20170203;000000;117760.0000000;118990.0000000;117340.0000000;118480.0000000;524190
SPFB.RTS;D;20170206;000000;118560.0000000;119740.0000000;117410.0000000;118050.0000000;554435
SPFB.RTS;D;20170207;000000;118030.0000000;118080.0000000;116610.0000000;117430.0000000;497227
SPFB.RTS;D;20170208;000000;117430.0000000;117430.0000000;115690.0000000;116500.0000000;567017
SPFB.RTS;D;20170209;000000;116500.0000000;117170.0000000;115520.0000000;116200.0000000;494655
SPFB.RTS;D;20170210;000000;116210.0000000;117160.0000000;115640.0000000;116930.0000000;525759
SPFB.RTS;D;20170213;000000;117000.0000000;118130.0000000;116710.0000000;117530.0000000;539198
SPFB.RTS;D;20170214;000000;117490.0000000;117940.0000000;116650.0000000;117540.0000000;548516
SPFB.RTS;D;20170215;000000;117510.0000000;118060.0000000;116940.0000000;117440.0000000;609891
SPFB.RTS;D;20170216;000000;117450.0000000;117850.0000000;116600.0000000;117060.0000000;499999
SPFB.RTS;D;20170217;000000;117110.0000000;117480.0000000;114610.0000000;115320.0000000;557880
SPFB.RTS;D;20170220;000000;115400.0000000;115740.0000000;114520.0000000;114950.0000000;469780
SPFB.RTS;D;20170221;000000;115040.0000000;116670.0000000;114840.0000000;116450.0000000;530307
SPFB.RTS;D;20170222;000000;116530.0000000;116850.0000000;113420.0000000;114140.0000000;613401
SPFB.RTS;D;20170224;000000;114200.0000000;114930.0000000;112650.0000000;113050.0000000;390194
SPFB.RTS;D;20170227;000000;113080.0000000;113990.0000000;111400.0000000;111700.0000000;484275
SPFB.RTS;D;20170228;000000;111730.0000000;111950.0000000;109110.0000000;109590.0000000;716134
SPFB.RTS;D;20170301;000000;109590.0000000;111490.0000000;109550.0000000;111210.0000000;630875
SPFB.RTS;D;20170302;000000;111150.0000000;112050.0000000;109340.0000000;109400.0000000;832389
SPFB.RTS;D;20170303;000000;109400.0000000;111710.0000000;108560.0000000;111340.0000000;693545
SPFB.RTS;D;20170306;000000;111260.0000000;112240.0000000;110200.0000000;110690.0000000;596949
SPFB.RTS;D;20170307;000000;110700.0000000;110840.0000000;108970.0000000;109380.0000000;568838
SPFB.RTS;D;20170309;000000;109250.0000000;109250.0000000;104250.0000000;105070.0000000;1105129
SPFB.RTS;D;20170310;000000;104270.0000000;105640.0000000;103810.0000000;104630.0000000;55371
SPFB.RTS;D;20170313;000000;104580.0000000;106970.0000000;103900.0000000;106640.0000000;85541
SPFB.RTS;D;20170314;000000;106620.0000000;107180.0000000;104810.0000000;106410.0000000;160749
SPFB.RTS;D;20170315;000000;106530.0000000;108350.0000000;105520.0000000;108060.0000000;346861
SPFB.RTS;D;20170316;000000;108080.0000000;109690.0000000;107830.0000000;109440.0000000;719654
SPFB.RTS;D;20170317;000000;109480.0000000;112200.0000000;109040.0000000;112060.0000000;710102
SPFB.RTS;D;20170320;000000;112010.0000000;112540.0000000;110240.0000000;111740.0000000;657911
SPFB.RTS;D;20170321;000000;111740.0000000;113640.0000000;111160.0000000;111440.0000000;820468
SPFB.RTS;D;20170322;000000;111300.0000000;112350.0000000;109950.0000000;112180.0000000;870836
SPFB.RTS;D;20170323;000000;112200.0000000;113040.0000000;110960.0000000;111880.0000000;692399
SPFB.RTS;D;20170324;000000;111890.0000000;112860.0000000;111370.0000000;112620.0000000;589359
SPFB.RTS;D;20170327;000000;112600.0000000;112600.0000000;110050.0000000;111380.0000000;613625
SPFB.RTS;D;20170328;000000;111380.0000000;112290.0000000;110860.0000000;111720.0000000;625388
SPFB.RTS;D;20170329;000000;111840.0000000;112500.0000000;111330.0000000;112390.0000000;562068
SPFB.RTS;D;20170330;000000;112360.0000000;113610.0000000;112180.0000000;113310.0000000;635599
SPFB.RTS;D;20170331;000000;113300.0000000;113400.0000000;110760.0000000;111340.0000000;584107
SPFB.RTS;D;20170403;000000;111350.0000000;112420.0000000;111220.0000000;112250.0000000;544435
SPFB.RTS;D;20170404;000000;112200.0000000;113840.0000000;111180.0000000;113540.0000000;551712
SPFB.RTS;D;20170405;000000;113570.0000000;115470.0000000;113570.0000000;114250.0000000;667455
SPFB.RTS;D;20170406;000000;114250.0000000;114940.0000000;113710.0000000;114140.0000000;519556
SPFB.RTS;D;20170407;000000;114140.0000000;114190.0000000;110510.0000000;110660.0000000;719890
SPFB.RTS;D;20170410;000000;110590.0000000;110590.0000000;107710.0000000;108220.0000000;615936
SPFB.RTS;D;20170411;000000;108170.0000000;110060.0000000;107990.0000000;109320.0000000;690776
SPFB.RTS;D;20170412;000000;109360.0000000;109840.0000000;106420.0000000;107430.0000000;846467
SPFB.RTS;D;20170413;000000;107450.0000000;108650.0000000;106150.0000000;108060.0000000;857247
SPFB.RTS;D;20170414;000000;107970.0000000;108390.0000000;106520.0000000;106650.0000000;370066
SPFB.RTS;D;20170417;000000;106610.0000000;109260.0000000;106040.0000000;109230.0000000;572036
SPFB.RTS;D;20170418;000000;109100.0000000;109400.0000000;106870.0000000;107050.0000000;764844
SPFB.RTS;D;20170419;000000;107100.0000000;108130.0000000;105420.0000000;105770.0000000;761680
SPFB.RTS;D;20170420;000000;105820.0000000;108100.0000000;105730.0000000;107550.0000000;659222
SPFB.RTS;D;20170421;000000;107640.0000000;108940.0000000;107090.0000000;108000.0000000;663572
SPFB.RTS;D;20170424;000000;108020.0000000;111040.0000000;108020.0000000;110560.0000000;646413
SPFB.RTS;D;20170425;000000;110570.0000000;111990.0000000;110420.0000000;111570.0000000;537152
SPFB.RTS;D;20170426;000000;111560.0000000;111870.0000000;110150.0000000;110860.0000000;629522
SPFB.RTS;D;20170427;000000;110890.0000000;111360.0000000;109830.0000000;111300.0000000;705102
SPFB.RTS;D;20170428;000000;111300.0000000;111900.0000000;110610.0000000;111280.0000000;510972
SPFB.RTS;D;20170502;000000;111280.0000000;112560.0000000;110540.0000000;111660.0000000;488828
SPFB.RTS;D;20170503;000000;111610.0000000;111610.0000000;108910.0000000;109030.0000000;668397
SPFB.RTS;D;20170504;000000;108990.0000000;109640.0000000;106670.0000000;106850.0000000;705676
SPFB.RTS;D;20170505;000000;106800.0000000;108480.0000000;105910.0000000;108440.0000000;643994
SPFB.RTS;D;20170510;000000;108350.0000000;110940.0000000;107710.0000000;110380.0000000;528726
SPFB.RTS;D;20170511;000000;110380.0000000;111210.0000000;109380.0000000;110110.0000000;505428
SPFB.RTS;D;20170512;000000;110220.0000000;110310.0000000;108600.0000000;109310.0000000;526648
SPFB.RTS;D;20170515;000000;109450.0000000;111650.0000000;109450.0000000;111260.0000000;532476
SPFB.RTS;D;20170516;000000;111280.0000000;111790.0000000;110500.0000000;110510.0000000;489594
SPFB.RTS;D;20170517;000000;110500.0000000;110570.0000000;109080.0000000;109190.0000000;599250
SPFB.RTS;D;20170518;000000;109190.0000000;109250.0000000;106540.0000000;107610.0000000;917698
SPFB.RTS;D;20170519;000000;107650.0000000;108940.0000000;106910.0000000;107890.0000000;611981
SPFB.RTS;D;20170522;000000;107890.0000000;108970.0000000;107210.0000000;108260.0000000;562666
SPFB.RTS;D;20170523;000000;108240.0000000;109750.0000000;107650.0000000;109400.0000000;537075
SPFB.RTS;D;20170524;000000;109430.0000000;109860.0000000;107730.0000000;108820.0000000;567692
SPFB.RTS;D;20170525;000000;108880.0000000;109750.0000000;107080.0000000;107170.0000000;691005
SPFB.RTS;D;20170526;000000;107170.0000000;107670.0000000;106650.0000000;107450.0000000;513242
SPFB.RTS;D;20170529;000000;107440.0000000;108400.0000000;107020.0000000;107500.0000000;341340
SPFB.RTS;D;20170530;000000;107500.0000000;107980.0000000;107030.0000000;107640.0000000;413981
SPFB.RTS;D;20170531;000000;107630.0000000;107630.0000000;104610.0000000;105530.0000000;648543
SPFB.RTS;D;20170601;000000;105490.0000000;105750.0000000;103410.0000000;103790.0000000;591807
SPFB.RTS;D;20170602;000000;103750.0000000;104800.0000000;102390.0000000;104420.0000000;698255
SPFB.RTS;D;20170605;000000;104420.0000000;105130.0000000;103570.0000000;104030.0000000;502356
SPFB.RTS;D;20170606;000000;104030.0000000;104890.0000000;103310.0000000;104100.0000000;462533
SPFB.RTS;D;20170607;000000;104080.0000000;104660.0000000;102410.0000000;102700.0000000;531499
SPFB.RTS;D;20170608;000000;102710.0000000;103500.0000000;101740.0000000;103060.0000000;557596
SPFB.RTS;D;20170609;000000;103020.0000000;104070.0000000;102670.0000000;103340.0000000;508226
SPFB.RTS;D;20170613;000000;103400.0000000;103720.0000000;102820.0000000;102950.0000000;518643
SPFB.RTS;D;20170614;000000;102990.0000000;103120.0000000;99620.0000000;100100.0000000;611929
SPFB.RTS;D;20170615;000000;97560.0000000;97930.0000000;94760.0000000;96910.0000000;863357
SPFB.RTS;D;20170616;000000;97520.0000000;97960.0000000;96410.0000000;96990.0000000;370105
SPFB.RTS;D;20170619;000000;96990.0000000;97830.0000000;96870.0000000;97750.0000000;427748
SPFB.RTS;D;20170620;000000;97750.0000000;98540.0000000;95300.0000000;95780.0000000;625213
SPFB.RTS;D;20170621;000000;95550.0000000;96180.0000000;93550.0000000;94050.0000000;724028
SPFB.RTS;D;20170622;000000;94090.0000000;96280.0000000;93820.0000000;95480.0000000;604306
SPFB.RTS;D;20170623;000000;95540.0000000;97340.0000000;95420.0000000;97200.0000000;563875
SPFB.RTS;D;20170626;000000;97250.0000000;98240.0000000;96660.0000000;97280.0000000;597406
SPFB.RTS;D;20170627;000000;97290.0000000;98730.0000000;96410.0000000;96510.0000000;666086
SPFB.RTS;D;20170628;000000;96640.0000000;98890.0000000;96640.0000000;98640.0000000;561771
SPFB.RTS;D;20170629;000000;98670.0000000;99370.0000000;96860.0000000;97430.0000000;582122
SPFB.RTS;D;20170630;000000;97430.0000000;99080.0000000;97420.0000000;99080.0000000;468534
SPFB.RTS;D;20170703;000000;99080.0000000;99460.0000000;97880.0000000;99220.0000000;467393
SPFB.RTS;D;20170704;000000;99210.0000000;99970.0000000;98880.0000000;99540.0000000;364940
SPFB.RTS;D;20170705;000000;99670.0000000;99970.0000000;98220.0000000;99180.0000000;635992
SPFB.RTS;D;20170706;000000;99170.0000000;99390.0000000;98080.0000000;98350.0000000;567902
SPFB.RTS;D;20170707;000000;98260.0000000;99040.0000000;97730.0000000;98360.0000000;548689
SPFB.RTS;D;20170710;000000;98420.0000000;99700.0000000;98160.0000000;99360.0000000;590889
SPFB.RTS;D;20170711;000000;99350.0000000;99840.0000000;98090.0000000;99700.0000000;527369
SPFB.RTS;D;20170712;000000;99740.0000000;102010.0000000;99640.0000000;101580.0000000;671595
SPFB.RTS;D;20170713;000000;101500.0000000;102260.0000000;101130.0000000;102000.0000000;519079
SPFB.RTS;D;20170714;000000;101920.0000000;103950.0000000;101750.0000000;103850.0000000;527796
SPFB.RTS;D;20170717;000000;103770.0000000;104320.0000000;102460.0000000;103130.0000000;429116
SPFB.RTS;D;20170718;000000;103200.0000000;103900.0000000;102120.0000000;102500.0000000;535626
SPFB.RTS;D;20170719;000000;102460.0000000;104480.0000000;102250.0000000;104280.0000000;491493
SPFB.RTS;D;20170720;000000;104360.0000000;104660.0000000;103620.0000000;103900.0000000;488239
SPFB.RTS;D;20170721;000000;103880.0000000;104330.0000000;102300.0000000;102630.0000000;499489
SPFB.RTS;D;20170724;000000;102630.0000000;102630.0000000;100830.0000000;101420.0000000;588739
SPFB.RTS;D;20170725;000000;101500.0000000;102160.0000000;100460.0000000;101990.0000000;531731
SPFB.RTS;D;20170726;000000;101950.0000000;103030.0000000;101070.0000000;102820.0000000;542687
SPFB.RTS;D;20170727;000000;102760.0000000;103250.0000000;101870.0000000;102520.0000000;460884
SPFB.RTS;D;20170728;000000;102370.0000000;102500.0000000;100680.0000000;101500.0000000;507141
SPFB.RTS;D;20170731;000000;101500.0000000;101820.0000000;99650.0000000;101520.0000000;524226
SPFB.RTS;D;20170801;000000;101490.0000000;102420.0000000;101000.0000000;101180.0000000;497119
SPFB.RTS;D;20170802;000000;101120.0000000;102790.0000000;100960.0000000;102410.0000000;500155
SPFB.RTS;D;20170803;000000;102400.0000000;103120.0000000;101760.0000000;101950.0000000;447955
SPFB.RTS;D;20170804;000000;101980.0000000;103050.0000000;101750.0000000;102650.0000000;468786
SPFB.RTS;D;20170807;000000;102650.0000000;103690.0000000;102560.0000000;103470.0000000;459712
SPFB.RTS;D;20170808;000000;103430.0000000;104980.0000000;103230.0000000;104340.0000000;464480
SPFB.RTS;D;20170809;000000;104270.0000000;104450.0000000;103280.0000000;103980.0000000;488399
SPFB.RTS;D;20170810;000000;104010.0000000;104290.0000000;102400.0000000;102460.0000000;551858
SPFB.RTS;D;20170811;000000;102460.0000000;102920.0000000;101120.0000000;102710.0000000;526754
SPFB.RTS;D;20170814;000000;102750.0000000;103480.0000000;102270.0000000;102450.0000000;441034
SPFB.RTS;D;20170815;000000;102490.0000000;103190.0000000;101760.0000000;103130.0000000;460715
SPFB.RTS;D;20170816;000000;103200.0000000;103690.0000000;102550.0000000;102600.0000000;438627
SPFB.RTS;D;20170817;000000;102680.0000000;103640.0000000;102510.0000000;102540.0000000;449255
SPFB.RTS;D;20170818;000000;102600.0000000;103400.0000000;101730.0000000;103180.0000000;477760
SPFB.RTS;D;20170821;000000;103150.0000000;103820.0000000;102790.0000000;103110.0000000;401363
SPFB.RTS;D;20170822;000000;103140.0000000;104110.0000000;103140.0000000;103770.0000000;367496
SPFB.RTS;D;20170823;000000;103750.0000000;104500.0000000;103470.0000000;104340.0000000;357623
SPFB.RTS;D;20170824;000000;104360.0000000;105080.0000000;104230.0000000;104830.0000000;300436
SPFB.RTS;D;20170825;000000;104900.0000000;106320.0000000;104900.0000000;106120.0000000;360966
SPFB.RTS;D;20170828;000000;106080.0000000;106960.0000000;105860.0000000;106910.0000000;329860
SPFB.RTS;D;20170829;000000;106900.0000000;107140.0000000;105320.0000000;106800.0000000;436177
SPFB.RTS;D;20170830;000000;106850.0000000;108470.0000000;106660.0000000;107720.0000000;547074
SPFB.RTS;D;20170831;000000;107650.0000000;109860.0000000;107510.0000000;109270.0000000;548271
SPFB.RTS;D;20170901;000000;109330.0000000;110720.0000000;109280.0000000;110360.0000000;477531
SPFB.RTS;D;20170904;000000;110330.0000000;110330.0000000;108670.0000000;109550.0000000;373294
SPFB.RTS;D;20170905;000000;109550.0000000;110400.0000000;108680.0000000;109230.0000000;517336
SPFB.RTS;D;20170906;000000;109300.0000000;111160.0000000;109270.0000000;110890.0000000;431792
SPFB.RTS;D;20170907;000000;110850.0000000;112200.0000000;110800.0000000;111740.0000000;472294
SPFB.RTS;D;20170908;000000;111730.0000000;112520.0000000;111150.0000000;111380.0000000;457459
SPFB.RTS;D;20170911;000000;110930.0000000;112510.0000000;110930.0000000;112000.0000000;32225
SPFB.RTS;D;20170912;000000;112250.0000000;112350.0000000;111420.0000000;112030.0000000;19709
SPFB.RTS;D;20170913;000000;111910.0000000;112800.0000000;111000.0000000;111400.0000000;29342
SPFB.RTS;D;20170914;000000;111410.0000000;112390.0000000;110650.0000000;111850.0000000;53016
SPFB.RTS;D;20170915;000000;111950.0000000;112310.0000000;111070.0000000;111550.0000000;67191
SPFB.RTS;D;20170918;000000;111790.0000000;112430.0000000;110960.0000000;111050.0000000;72473
SPFB.RTS;D;20170919;000000;111150.0000000;111590.0000000;110420.0000000;110970.0000000;141449
SPFB.RTS;D;20170920;000000;110820.0000000;112150.0000000;110710.0000000;111630.0000000;273529
SPFB.RTS;D;20170921;000000;111430.0000000;112130.0000000;110940.0000000;111880.0000000;430414
SPFB.RTS;D;20170922;000000;111940.0000000;112340.0000000;111520.0000000;111940.0000000;364091
SPFB.RTS;D;20170925;000000;112000.0000000;113430.0000000;111740.0000000;113210.0000000;416800
SPFB.RTS;D;20170926;000000;113200.0000000;114320.0000000;112130.0000000;112700.0000000;472896
SPFB.RTS;D;20170927;000000;112700.0000000;112890.0000000;111920.0000000;112290.0000000;445834
SPFB.RTS;D;20170928;000000;112220.0000000;113120.0000000;111600.0000000;112420.0000000;449242
SPFB.RTS;D;20170929;000000;112450.0000000;113660.0000000;112060.0000000;113380.0000000;375054
SPFB.RTS;D;20171002;000000;113330.0000000;113490.0000000;112690.0000000;112800.0000000;323110
SPFB.RTS;D;20171003;000000;112770.0000000;113390.0000000;112560.0000000;112890.0000000;328591
SPFB.RTS;D;20171004;000000;112960.0000000;113930.0000000;112710.0000000;113320.0000000;350000
SPFB.RTS;D;20171005;000000;113350.0000000;114640.0000000;113190.0000000;114320.0000000;395532
SPFB.RTS;D;20171006;000000;114340.0000000;114760.0000000;113250.0000000;113390.0000000;396703
SPFB.RTS;D;20171009;000000;113430.0000000;113640.0000000;112560.0000000;113020.0000000;312183
SPFB.RTS;D;20171010;000000;113070.0000000;113940.0000000;113070.0000000;113490.0000000;288772
SPFB.RTS;D;20171011;000000;113490.0000000;114560.0000000;113460.0000000;114300.0000000;308378
SPFB.RTS;D;20171012;000000;114330.0000000;114780.0000000;113980.0000000;114250.0000000;293027
SPFB.RTS;D;20171013;000000;114270.0000000;115620.0000000;114220.0000000;115330.0000000;334236
SPFB.RTS;D;20171016;000000;115350.0000000;116260.0000000;115350.0000000;115730.0000000;285460
SPFB.RTS;D;20171017;000000;115640.0000000;115640.0000000;114320.0000000;115010.0000000;356396
SPFB.RTS;D;20171018;000000;115020.0000000;115540.0000000;114630.0000000;115020.0000000;358731
SPFB.RTS;D;20171019;000000;115010.0000000;115150.0000000;113560.0000000;113830.0000000;425401
SPFB.RTS;D;20171020;000000;113850.0000000;114290.0000000;113210.0000000;113910.0000000;363065
SPFB.RTS;D;20171023;000000;113910.0000000;114070.0000000;113080.0000000;113110.0000000;272319
SPFB.RTS;D;20171024;000000;113130.0000000;113570.0000000;112710.0000000;113390.0000000;349525
SPFB.RTS;D;20171025;000000;113350.0000000;113470.0000000;111720.0000000;111930.0000000;375144
SPFB.RTS;D;20171026;000000;111950.0000000;112240.0000000;111160.0000000;112040.0000000;402131
SPFB.RTS;D;20171027;000000;112030.0000000;112460.0000000;110660.0000000;112100.0000000;493924
SPFB.RTS;D;20171030;000000;112180.0000000;113430.0000000;112060.0000000;112660.0000000;377955
SPFB.RTS;D;20171031;000000;112700.0000000;112790.0000000;111460.0000000;111650.0000000;370335
SPFB.RTS;D;20171101;000000;111700.0000000;113220.0000000;111700.0000000;112100.0000000;462273
SPFB.RTS;D;20171102;000000;112100.0000000;112560.0000000;111510.0000000;112420.0000000;387380
SPFB.RTS;D;20171103;000000;112440.0000000;113050.0000000;110830.0000000;111540.0000000;534171
SPFB.RTS;D;20171107;000000;111630.0000000;115160.0000000;111630.0000000;114020.0000000;596745
SPFB.RTS;D;20171108;000000;113990.0000000;115780.0000000;113600.0000000;115220.0000000;482818
SPFB.RTS;D;20171109;000000;115220.0000000;115970.0000000;114470.0000000;115570.0000000;592374
SPFB.RTS;D;20171110;000000;115500.0000000;116250.0000000;115210.0000000;115580.0000000;495117
SPFB.RTS;D;20171113;000000;115560.0000000;116690.0000000;114620.0000000;115000.0000000;551355
SPFB.RTS;D;20171114;000000;115000.0000000;115110.0000000;113200.0000000;113310.0000000;555317
SPFB.RTS;D;20171115;000000;113200.0000000;113200.0000000;111480.0000000;111560.0000000;504711
SPFB.RTS;D;20171116;000000;111610.0000000;112730.0000000;110770.0000000;112480.0000000;627077
SPFB.RTS;D;20171117;000000;112510.0000000;113790.0000000;112160.0000000;113650.0000000;441561
SPFB.RTS;D;20171120;000000;113540.0000000;113540.0000000;112250.0000000;113030.0000000;400686
SPFB.RTS;D;20171121;000000;113080.0000000;114480.0000000;113010.0000000;114290.0000000;445138
SPFB.RTS;D;20171122;000000;114310.0000000;115940.0000000;114310.0000000;115940.0000000;390623
SPFB.RTS;D;20171123;000000;115930.0000000;116140.0000000;115160.0000000;115800.0000000;355132
SPFB.RTS;D;20171124;000000;115750.0000000;116580.0000000;115120.0000000;116170.0000000;407713
SPFB.RTS;D;20171127;000000;116150.0000000;116800.0000000;115060.0000000;115160.0000000;423287
SPFB.RTS;D;20171128;000000;115160.0000000;115840.0000000;114450.0000000;115460.0000000;462678
SPFB.RTS;D;20171129;000000;115450.0000000;115980.0000000;113100.0000000;113360.0000000;594382
SPFB.RTS;D;20171130;000000;113490.0000000;114160.0000000;112420.0000000;112720.0000000;544407
SPFB.RTS;D;20171201;000000;112810.0000000;113260.0000000;110480.0000000;111450.0000000;593880
SPFB.RTS;D;20171204;000000;111450.0000000;113350.0000000;110850.0000000;112680.0000000;530091
SPFB.RTS;D;20171205;000000;112610.0000000;113340.0000000;112500.0000000;112900.0000000;364379
SPFB.RTS;D;20171206;000000;112830.0000000;113030.0000000;111660.0000000;112040.0000000;428371
SPFB.RTS;D;20171207;000000;112030.0000000;112410.0000000;111380.0000000;111990.0000000;413014
SPFB.RTS;D;20171208;000000;112010.0000000;112430.0000000;111050.0000000;111720.0000000;417960
